Name,age,gender,region_category,membership_category,joined_through_referral,preferred_offer_types,medium_of_operation,internet_option,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score,Tenure (months),age2
Arletha Bye,30,M,Village,No Membership,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,21,30.37,49404.86,23,630.61,Yes,No,Yes,No Information Available,Poor Website,5,17,30-39
Leslie Kosinski,19,F,Town,Platinum Membership,No,Gift Vouchers/Coupons,Not Specified,Mobile_Data,15,483.03,52702.67,3,389.3564432,No,Yes,Yes,No Information Available,User Friendly Website,2,11,Oct-19
Anisha Oddo,43,M,City,No Membership,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,17,108.3,21725.57,21,225.0044276,No,Yes,No,Not Applicable,Poor Website,4,28,40-49
Raina Tracey,29,F,Town,Silver Membership,No,Without Offers,Desktop,Fiber_Optic,18,300.38,12069.06,7,777.31,No,Yes,No,Not Applicable,Too many ads,3,20,20-29
Fabiola Tucci,10,M,City,Gold Membership,Yes,Credit/Debit Card Offers,Not Specified,Wi-Fi,1,100.65,8515.5,6,757.7,Yes,No,No,Not Applicable,No reason specified,3,25,Oct-19
Karri Handley,20,F,Village,No Membership,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,22,272.31,42743.44,12,687.26,Yes,No,No,Not Applicable,Poor Product Quality,5,12,20-29
Cuc Cousin,10,M,Town,Gold Membership,No,Credit/Debit Card Offers,Not Specified,Wi-Fi,4,127.37,15719.24,10,634.88,Yes,No,Yes,Unsolved,Poor Website,4,23,Oct-19
Genoveva Harriston,17,F,City,No Membership,Not Specified,Without Offers,Desktop,Fiber_Optic,20,162.93,31100.95,11,633.05,No,Yes,Yes,Solved,Too many ads,5,25,Oct-19
Franklin Cranfield,60,M,City,Gold Membership,Yes,Gift Vouchers/Coupons,Both,Fiber_Optic,11,537.25,1773.49,6,711.76,Yes,Yes,No,Not Applicable,Poor Product Quality,3,6,60-69
Narcisa Hakes,12,M,City,Premium Membership,No,Credit/Debit Card Offers,Desktop,Wi-Fi,8,198.26,26105.24,7,721.36,Yes,No,No,Not Applicable,Poor Customer Service,3,34,Oct-19
Shanae Zielinski,52,M,Town,Silver Membership,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,9,119.47,10101.48,28,158.5477645,Yes,No,No,Not Applicable,Poor Website,4,26,50-59
Regenia Angeles,30,M,City,Basic Membership,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,15,68.19,21111.9,23,574.01,Yes,Yes,Yes,Solved in Follow-up,Poor Customer Service,5,14,30-39
Shawna May,26,F,Town,No Membership,Yes,Without Offers,Desktop,Wi-Fi,20,194.85,5912.06,13,568.34,Yes,No,No,Not Applicable,Too many ads,5,6,20-29
Manual Hodges,24,M,City,Premium Membership,Not Specified,Without Offers,Desktop,Fiber_Optic,15,210.44,35531.98,25,745.49,Yes,No,No,Not Applicable,Poor Product Quality,3,14,20-29
Erich Allsup,33,F,Town,Premium Membership,Not Specified,Credit/Debit Card Offers,Desktop,Wi-Fi,12,394.26,34697.85,19,752.3,Yes,No,Yes,No Information Available,Poor Website,3,10,30-39
Geoffrey Toledo,17,M,City,Platinum Membership,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,6,348.07,94100.72,4,824.95,Yes,Yes,No,Not Applicable,User Friendly Website,1,24,Oct-19
Mara Camacho,58,F,Village,Gold Membership,No,Without Offers,Smartphone,Mobile_Data,11,30.78,48080.03,10,713.62,Yes,No,No,Not Applicable,Poor Product Quality,3,1,50-59
Alysa Tosi,41,M,Town,Platinum Membership,No,Without Offers,Both,Fiber_Optic,13,282.87,27528.03,27,743.8,Yes,No,No,Not Applicable,Poor Website,3,13,40-49
Sonny Valenzuela,38,M,Town,Gold Membership,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,8,324.75,28535.13,27,770.31,Yes,Yes,Yes,Solved,Poor Customer Service,3,2,30-39
Camelia Wynter,20,M,City,Silver Membership,Yes,Without Offers,Desktop,Fiber_Optic,16,237.39,25000.09,16,704.4,No,Yes,No,Not Applicable,Poor Website,4,35,20-29
Melinda Davilla,35,F,Village,Gold Membership,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,20,148.24,30984.56,11,729.04,Yes,No,No,Not Applicable,Poor Customer Service,3,14,30-39
Zelda Labombard,43,M,Town,Premium Membership,Yes,Without Offers,Both,Wi-Fi,16,773.83,9091.94,20,700.4,No,Yes,No,Not Applicable,Poor Product Quality,3,8,40-49
Flora Krueger,40,F,Town,Platinum Membership,Not Specified,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,18,251.06,63416.63,12,1087.184702,No,Yes,Yes,Solved in Follow-up,Products always in Stock,2,28,40-49
Jennell Wykoff,40,F,Town,Silver Membership,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,0,46.57,24045.93,8,709.73,No,Yes,No,Not Applicable,Poor Product Quality,3,4,40-49
Rufus Bjornson,48,F,Town,No Membership,Not Specified,Credit/Debit Card Offers,Smartphone,Wi-Fi,12,539.49,49270.76,12,503.95,Yes,No,No,Not Applicable,Too many ads,5,9,40-49
Federico Krings,35,M,Town,Premium Membership,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,12,34.48,48679.07,6,779.59,Yes,No,No,Not Applicable,Poor Product Quality,3,31,30-39
Samantha Owings,35,M,Town,No Membership,Yes,Without Offers,Smartphone,Mobile_Data,4,157.03,22975.33,18,548.1,No,Yes,No,Not Applicable,Poor Website,5,1,30-39
Elva Dunneback,43,M,Town,No Membership,No,Credit/Debit Card Offers,Not Specified,Mobile_Data,11,227.23,29602.15,24,663.63,No,Yes,Yes,Unsolved,Poor Product Quality,4,32,40-49
Hal Hagood,28,M,Village,Basic Membership,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,4,457.33,20883.28,14,-549.3574977,No,Yes,No,Not Applicable,Too many ads,5,2,20-29
Priscilla Weinstock,53,M,Town,Platinum Membership,No,Without Offers,Not Specified,Fiber_Optic,6,228.02,46353.54,19,302.0058985,Yes,No,Yes,No Information Available,No reason specified,3,11,50-59
Jena Scherrer,59,F,Town,No Membership,Yes,Gift Vouchers/Coupons,Desktop,Fiber_Optic,0,207.52,12556.28,10,-44.59763258,No,Yes,No,Not Applicable,No reason specified,4,6,50-59
Jackson Ravenscroft,39,M,City,No Membership,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,13,98.57,2645.63,23,674.42,No,Yes,No,Not Applicable,Poor Product Quality,5,13,30-39
Lynn Conkle,11,M,City,Gold Membership,No,Credit/Debit Card Offers,Not Specified,Wi-Fi,23,176.31,8983.02,25,707.46,No,Yes,Yes,Solved,Poor Product Quality,4,18,Oct-19
Desire Taul,37,M,Village,No Membership,Not Specified,Without Offers,Both,Mobile_Data,17,687.16,29101.96,18,713.82,Yes,Yes,No,Not Applicable,Poor Customer Service,4,19,30-39
Teri Johanson,53,M,City,No Membership,No,Credit/Debit Card Offers,Desktop,Wi-Fi,0,253.96,19233.1,25,1032.199126,Yes,No,Yes,Solved,Poor Website,5,8,50-59
Kelsie Balboa,47,M,Town,Silver Membership,Not Specified,Without Offers,Not Specified,Wi-Fi,10,131.86,26399.43,17,757.01,No,Yes,Yes,Solved in Follow-up,Poor Customer Service,3,29,40-49
Polly Mccarron,50,M,Town,Gold Membership,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,19,65.39,17054.69,21,353.3690015,No,Yes,Yes,Solved,No reason specified,3,35,50-59
Gerry Resto,49,F,City,Silver Membership,Yes,Gift Vouchers/Coupons,Not Specified,Wi-Fi,3,74.9,41612.23,28,1196.569315,No,Yes,Yes,Solved in Follow-up,No reason specified,4,16,40-49
Keitha Marra,53,F,City,Premium Membership,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,18,172.99,9044.15,8,763.14,Yes,No,Yes,Solved in Follow-up,Products always in Stock,1,33,50-59
Ranae Addington,62,F,City,No Membership,No,Without Offers,Both,Fiber_Optic,5,304.52,47658.52,29,699.19,No,Yes,Yes,Solved,Too many ads,4,14,60-69
Christene Wideman,16,M,City,Silver Membership,Not Specified,Gift Vouchers/Coupons,Desktop,Fiber_Optic,9,355.31,20457.22,5,1233.769727,Yes,Yes,Yes,Solved in Follow-up,Poor Product Quality,3,1,Oct-19
Herbert Jacobo,25,F,Village,Gold Membership,Yes,Without Offers,Smartphone,Mobile_Data,11,31.88,35414.54,20,788.67,No,Yes,No,Not Applicable,No reason specified,3,7,20-29
Karoline Cimino,24,F,Town,Premium Membership,Yes,Without Offers,Desktop,Fiber_Optic,5,181.34,43554.96,1,728.69,Yes,No,Yes,Solved in Follow-up,Products always in Stock,2,4,20-29
Annelle Thiele,56,M,Village,Basic Membership,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,24,48.59,28071.04,16,533.05,No,Yes,Yes,Solved,Poor Website,5,4,50-59
Zoe Risk,23,F,Town,Gold Membership,Yes,Without Offers,Desktop,Wi-Fi,21,727.69,4919.72,13,758.83,Yes,Yes,No,Not Applicable,Too many ads,3,16,20-29
Gerard Knapp,23,M,City,Gold Membership,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,10,934.3542198,11955.94,24,630.8,No,Yes,Yes,Unsolved,Poor Customer Service,4,30,20-29
Enid Boan,52,F,City,Basic Membership,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,4,826.51,14877.24,25,522.61,Yes,No,No,Not Applicable,Poor Customer Service,5,1,50-59
Sid Basel,49,F,Town,Premium Membership,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,21,115.41,41156.81,27,741.02,No,Yes,No,Not Applicable,Poor Customer Service,3,15,40-49
Gina Amburn,27,M,City,Silver Membership,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,21,357.45,29825.45,9,665.63,No,Yes,Yes,Solved,Poor Website,4,14,20-29
Armida Razor,56,M,City,Gold Membership,No,Without Offers,Desktop,Fiber_Optic,21,1386.232857,9454.17,19,778.27,Yes,No,No,Not Applicable,Too many ads,3,20,50-59
Lynn Calico,31,F,Town,Silver Membership,No,Credit/Debit Card Offers,Both,Wi-Fi,10,428.05,6325.08,28,80.09369313,No,Yes,No,Not Applicable,Poor Product Quality,4,8,30-39
Jeanice Kranz,29,M,Town,Premium Membership,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,14,42.48,16098.94,21,766.85,Yes,No,Yes,Solved,Poor Website,3,19,20-29
Zoraida Magill,31,F,City,Silver Membership,Yes,Without Offers,Smartphone,Wi-Fi,24,33.91,23226.43,7,762.48,No,Yes,Yes,Solved,Poor Customer Service,3,20,30-39
Melania Rayo,11,F,Town,Basic Membership,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,8,1060.527979,10990.31,16,271.7143813,Yes,No,No,Not Applicable,Poor Product Quality,5,33,Oct-19
Janell Stackpole,14,M,Town,Basic Membership,No,Credit/Debit Card Offers,Desktop,Mobile_Data,0,1156.431904,32302.27,24,520.33,No,Yes,No,Not Applicable,Poor Customer Service,5,5,Oct-19
Melinda Tullius,26,M,City,Silver Membership,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,7,187.91,17002.23,11,700.11,No,Yes,No,Not Applicable,Too many ads,3,1,20-29
Selena Caines,23,M,Town,Gold Membership,Not Specified,Gift Vouchers/Coupons,Desktop,Fiber_Optic,12,109.76,46102.66,8,783.03,Yes,No,No,Not Applicable,Poor Product Quality,3,21,20-29
Gricelda Eubanks,57,M,Town,Gold Membership,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,0,56.63,10171.97,23,757.61,Yes,No,Yes,Solved in Follow-up,No reason specified,3,28,50-59
Roxy Davies,42,M,City,Platinum Membership,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,10,1195.732666,31504.62,10,1207.253729,Yes,No,No,Not Applicable,Poor Customer Service,3,30,40-49
Dinorah Sang,46,M,Village,No Membership,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,21,287.39,44809.68,27,629.6,No,Yes,No,Not Applicable,Poor Product Quality,4,9,40-49
Christiana Sentell,61,M,City,Basic Membership,Not Specified,Gift Vouchers/Coupons,Smartphone,Mobile_Data,7,115.29,13019.31,14,164.0703482,Yes,No,Yes,Solved in Follow-up,Poor Product Quality,4,7,60-69
Darlena Torgeson,15,F,City,Premium Membership,Not Specified,Gift Vouchers/Coupons,Desktop,Fiber_Optic,5,185.05,43833.54,15,743.57,No,Yes,No,Not Applicable,Poor Product Quality,3,28,Oct-19
Duane Bruneau,35,M,City,Gold Membership,No,Without Offers,Both,Fiber_Optic,17,219.13,70247.76,3,1293.169381,Yes,Yes,No,Not Applicable,User Friendly Website,1,33,30-39
Vera Capote,57,M,Town,No Membership,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,8,400.35,30248.45,9,660.25,No,Yes,Yes,Unsolved,Poor Customer Service,4,35,50-59
Haley Wymore,64,M,Town,No Membership,No,Credit/Debit Card Offers,Desktop,Wi-Fi,20,49.24,39981.97,12,648.6,Yes,No,Yes,Solved,Too many ads,5,33,60-69
Sidney Modica,21,M,Town,Basic Membership,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,16,590.85,21919.13,14,610.24,Yes,No,Yes,Solved,Poor Product Quality,5,10,20-29
Gertrud Bender,53,F,Town,Gold Membership,No,Credit/Debit Card Offers,Smartphone,Wi-Fi,22,1142.148835,34918.7,6,699.08,Yes,No,Yes,Solved in Follow-up,Poor Website,4,11,50-59
Kathey Myles,26,M,Village,No Membership,Yes,Credit/Debit Card Offers,Desktop,Mobile_Data,16,138.33,8025.77,29,1016.785713,Yes,No,No,Not Applicable,Poor Customer Service,4,6,20-29
William Ruder,61,M,Town,Gold Membership,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,7,516.46,45544.33,29,780.96,No,Yes,Yes,Unsolved,Too many ads,3,23,60-69
Shawanda Hodson,30,M,Town,No Membership,No,Without Offers,Desktop,Fiber_Optic,19,211.19,2554.48,10,622.45,Yes,Yes,Yes,Solved,Poor Website,5,32,30-39
Jong Benningfield,35,F,City,Gold Membership,No,Without Offers,Smartphone,Fiber_Optic,10,267.45,32922.76,8,701.45,No,Yes,No,Not Applicable,No reason specified,4,30,30-39
Bridget Grabert,53,M,City,Gold Membership,No,Credit/Debit Card Offers,Desktop,Mobile_Data,19,213.34,8860.9,6,671.74,Yes,No,Yes,Solved,Poor Website,4,7,50-59
Ines Gayer,55,M,Town,No Membership,No,Credit/Debit Card Offers,Not Specified,Wi-Fi,23,50.48,8944.54,25,626.96,Yes,No,Yes,Unsolved,Poor Customer Service,5,1,50-59
Thea Pullum,23,M,City,Basic Membership,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,13,1044.243494,26060.01,22,684.88,Yes,No,Yes,Solved,Poor Website,4,23,20-29
Candy Grantham,11,M,Town,Premium Membership,Yes,Gift Vouchers/Coupons,Both,Mobile_Data,0,628.79,33199.52,22,777.94,Yes,No,Yes,No Information Available,Poor Customer Service,3,32,Oct-19
Mariana Sutherlin,37,M,Village,Silver Membership,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,11,172.07,23587.32,28,326.1310709,Yes,No,No,Not Applicable,Poor Website,4,34,30-39
Hilde Gilford,38,F,City,Basic Membership,Not Specified,Gift Vouchers/Coupons,Not Specified,Fiber_Optic,26,30.49,37139.89,20,627.26,Yes,No,No,Not Applicable,Poor Customer Service,5,7,30-39
Marlena Ortego,59,F,City,Basic Membership,No,Without Offers,Both,Wi-Fi,8,400.21,33996.1,38.47159929,697.6,Yes,Yes,No,Not Applicable,Poor Product Quality,4,16,50-59
Carmina Gipe,50,F,Town,Gold Membership,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,13,103.36,39610.89,10,653.12,Yes,No,Yes,Solved,Poor Customer Service,4,22,50-59
Deborah Studivant,12,F,Town,Gold Membership,Not Specified,Without Offers,Desktop,Wi-Fi,9,412.22,1313.11,18,733.13,Yes,Yes,No,Not Applicable,Products always in Stock,2,2,Oct-19
Miguelina Renfroe,29,F,Village,Premium Membership,Yes,Gift Vouchers/Coupons,Smartphone,Wi-Fi,19,222.69,18297.21,2,774.47,No,Yes,Yes,No Information Available,Products always in Stock,1,23,20-29
Elna Jolliff,39,F,City,Silver Membership,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,16,283.85,3888.65,18,959.92041,Yes,No,No,Not Applicable,Products always in Stock,2,15,30-39
Flavia Callaghan,37,F,City,Premium Membership,Not Specified,Credit/Debit Card Offers,Desktop,Fiber_Optic,17,136.19,6965.48,5,1181.873763,Yes,No,No,Not Applicable,Too many ads,3,7,30-39
Laree Martensen,37,F,Town,Gold Membership,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,5,32.29,63097.55,0,780.09,No,Yes,No,Not Applicable,User Friendly Website,2,22,30-39
Josette Taube,21,M,Town,Silver Membership,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,12,145.45,48500.63,11,727.97,No,Yes,Yes,Solved,Poor Customer Service,3,30,20-29
Raina Weston,64,F,Town,Basic Membership,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,10,313.84,23211.35,15,573.16,Yes,No,No,Not Applicable,Poor Product Quality,5,3,60-69
Merlyn Chadwell,56,F,Town,Silver Membership,Not Specified,Without Offers,Smartphone,Wi-Fi,11,254.72,28425.26,11,789.3,Yes,Yes,No,Not Applicable,No reason specified,3,22,50-59
Danny Siers,37,F,Town,Basic Membership,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,9,206.56,13037.39,13,616.68,Yes,No,Yes,Solved in Follow-up,Too many ads,5,17,30-39
Arielle Damiani,55,M,Town,Basic Membership,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,21,51.75,27564.76,24,660.59,No,Yes,No,Not Applicable,Too many ads,5,14,50-59
Valentina Payer,18,M,City,Basic Membership,Yes,Without Offers,Smartphone,Fiber_Optic,10,117.9,49537.82,7,528.08,Yes,No,Yes,Solved,Poor Product Quality,5,19,Oct-19
Rosia Cappiello,48,F,City,Basic Membership,Yes,Credit/Debit Card Offers,Desktop,Mobile_Data,15,77.18,49448.05,5,605.23,No,Yes,Yes,No Information Available,Poor Product Quality,4,3,40-49
Suzanna Wilmes,54,M,Town,Basic Membership,No,Credit/Debit Card Offers,Desktop,Wi-Fi,8,60.77,45095.33,1.234738899,692.59,Yes,No,No,Not Applicable,Poor Product Quality,5,17,50-59
Livia Richard,52,F,Village,Gold Membership,No,Without Offers,Smartphone,Mobile_Data,15,197.85,42084.72,18,710.7,No,Yes,No,Not Applicable,Poor Customer Service,3,0,50-59
Whitley Spicher,33,F,Town,Platinum Membership,Yes,Without Offers,Both,Mobile_Data,11,502.4,4714.82,24,472.8025704,Yes,No,No,Not Applicable,Poor Website,3,3,30-39
Sharita Casiano,35,M,Town,No Membership,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,6,33.96,6175.77,22,545.14,Yes,No,No,Not Applicable,Poor Product Quality,5,9,30-39
Lacey Spiegel,42,M,City,Platinum Membership,Not Specified,Without Offers,Both,Mobile_Data,13,617.09,33226.66,17,1053.420685,Yes,Yes,Yes,No Information Available,Poor Product Quality,3,26,40-49
Fabiola Moss,39,F,City,Gold Membership,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,9,34.93,42965.53,29,630.68,No,Yes,Yes,Solved,Poor Product Quality,4,2,30-39
Sharita Twiford,29,M,City,Premium Membership,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,11,317.25,17951.87,17,753.97,No,Yes,No,Not Applicable,Poor Customer Service,3,35,20-29
Francis Aumick,16,F,City,Gold Membership,No,Gift Vouchers/Coupons,Not Specified,Wi-Fi,8,133.36,21896.63,13,644.25,Yes,No,No,Not Applicable,No reason specified,4,8,Oct-19
Darlena Duden,14,F,City,No Membership,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,10,33.34,46392.24,24,582.93,Yes,No,No,Not Applicable,Poor Customer Service,5,12,Oct-19
Rebecka Domenech,13,F,Village,Premium Membership,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,5,84.05,10423.83,29,1044.81538,No,Yes,Yes,No Information Available,No reason specified,3,13,Oct-19
Chantel Girard,56,F,Town,No Membership,Yes,Without Offers,Desktop,Wi-Fi,19,69.22,14117.54,12,523.54,No,Yes,Yes,Solved in Follow-up,Poor Website,5,15,50-59
Barbie Cocco,64,F,City,Silver Membership,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,14,32.16,67458.29,0,764.62,Yes,No,Yes,Solved in Follow-up,User Friendly Website,2,15,60-69
Ira Hollifield,47,M,Town,No Membership,Yes,Gift Vouchers/Coupons,Both,Wi-Fi,20,692.73,18404.11,19,1072.745128,Yes,No,Yes,No Information Available,Poor Website,4,33,40-49
Selena Agnew,45,M,Town,Premium Membership,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,14,38.65,1225.14,9,700.07,Yes,No,Yes,Unsolved,Too many ads,3,8,40-49
Mana Mattison,19,F,Town,Premium Membership,Yes,Without Offers,Smartphone,Fiber_Optic,20,31.98,14432.03,24,730.04,Yes,No,Yes,Solved,Poor Customer Service,3,21,Oct-19
Ranee Eide,21,F,Town,Silver Membership,No,Credit/Debit Card Offers,Not Specified,Mobile_Data,12,283.79,38527.24,26,760.53,Yes,No,Yes,No Information Available,No reason specified,3,9,20-29
Necole Mullan,60,M,City,Silver Membership,Not Specified,Credit/Debit Card Offers,Both,Mobile_Data,9,1185.91225,29872.64,8,744.29,Yes,No,Yes,Solved in Follow-up,Poor Customer Service,3,29,60-69
Danny Mcnemar,32,M,Town,Gold Membership,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,17,329.16,37811.56,27,757.14,No,Yes,Yes,Unsolved,Poor Website,3,1,30-39
Erich Cimino,36,F,Town,Premium Membership,Yes,Gift Vouchers/Coupons,Both,Fiber_Optic,7,700.63,26571.36,13,738.84,Yes,Yes,No,Not Applicable,Products always in Stock,2,0,30-39
Mellissa Grantham,52,F,Town,Basic Membership,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,3,166.57,45964.8,17,630,Yes,No,Yes,No Information Available,Too many ads,5,16,50-59
Rolf Heatherly,39,M,Town,No Membership,Yes,Without Offers,Smartphone,Fiber_Optic,12,126.05,43632.02,16,594.51,Yes,No,No,Not Applicable,Poor Website,5,12,30-39
Julius Zinck,42,F,City,Silver Membership,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,11,428.35,26483.73,14,713.42,No,Yes,No,Not Applicable,No reason specified,3,15,40-49
Danny Hollifield,56,M,Town,Silver Membership,Yes,Credit/Debit Card Offers,Not Specified,Wi-Fi,16,148.06,15456.63,29,984.3321162,No,Yes,Yes,Solved in Follow-up,No reason specified,4,7,50-59
Danica Lenhardt,17,F,Town,Gold Membership,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,15,196.56,1246.57,22,766.76,Yes,No,Yes,Solved in Follow-up,No reason specified,3,5,Oct-19
Leeanne Tijerina,42,F,City,Basic Membership,No,Gift Vouchers/Coupons,Not Specified,Mobile_Data,4,316.14,13516.16,20,659.85,No,Yes,Yes,Solved,Poor Product Quality,5,7,40-49
Meghan Boyce,12,F,City,No Membership,Yes,Gift Vouchers/Coupons,Not Specified,Wi-Fi,22,108.2,2998.4,26,678.14,Yes,No,Yes,No Information Available,Too many ads,4,30,Oct-19
Merideth Benito,62,F,Town,Gold Membership,Yes,Without Offers,Smartphone,Fiber_Optic,6,308.28,38497.78,21,792.37,Yes,No,Yes,Unsolved,Too many ads,3,26,60-69
Markita Zinck,56,M,Town,Basic Membership,Yes,Without Offers,Desktop,Mobile_Data,5,732.71,47547.72,15,936.3622801,Yes,Yes,Yes,Unsolved,Poor Product Quality,4,17,50-59
Leeanna Dao,18,F,Town,Gold Membership,No,Without Offers,Desktop,Wi-Fi,21,32.82,46250.9,2,779.89,Yes,No,No,Not Applicable,User Friendly Website,1,20,Oct-19
Nolan Antoine,23,M,City,Gold Membership,Yes,Without Offers,Desktop,Fiber_Optic,15,547.87,36383.39,4,763.15,No,Yes,Yes,Solved,Products always in Stock,2,0,20-29
Lolita Johnsrud,17,M,City,Platinum Membership,Yes,Credit/Debit Card Offers,Desktop,Mobile_Data,14,80.4,15214.2,16,761.95,Yes,No,No,Not Applicable,No reason specified,3,2,Oct-19
